t,signal
0.13237,1.005
0.1325,1.0242
0.13262,1.0432
0.13275,1.0615
0.13287,1.0724
0.133,1.0776
0.13312,1.0809
0.13325,1.0843
0.13338,1.088
0.1335,1.0912
0.13362,1.0944
0.13375,1.0967
0.13387,1.0983
0.134,1.0995
0.13413,1.1007
0.13425,1.1011
0.13437,1.1006
0.1345,1.0986
0.13462,1.0939
0.13475,1.0839
0.13488,1.0683
0.135,1.0498
0.13512,1.03
0.13525,1.01
0.13537,0.98879
0.1355,0.96534
0.13563,0.94067
0.13575,0.91687
0.13587,0.89349
0.136,0.86868
0.13612,0.84217
0.13625,0.81587
0.13638,0.79187
0.1365,0.76625
0.13662,0.73532
0.13675,0.70052
0.13687,0.66238
0.137,0.62208
0.13712,0.58272
0.13725,0.54445
0.13738,0.50006
0.1375,0.46064
0.13762,0.42693
0.13775,0.38941
0.13787,0.34923
0.138,0.30709
0.13813,0.26631
0.13825,0.22722
0.13837,0.18725
0.1385,0.14423
0.13862,0.095966
0.13875,0.04723
0.13888,0.0014838
0.139,-0.041203
0.13912,-0.083414
0.13925,-0.12338
0.13937,-0.16043
0.1395,-0.19632
0.13962,-0.23282
0.13975,-0.26986
0.13987,-0.30766
0.14,-0.34599
0.14012,-0.38379
0.14025,-0.42124
0.14037,-0.45767
0.1405,-0.49356
0.14063,-0.52639
0.14075,-0.55698
0.14087,-0.58594
0.141,-0.6151
0.14112,-0.64304
0.14125,-0.66873
0.14138,-0.69775
0.1415,-0.72739
0.14162,-0.75526
0.14175,-0.78102
0.14187,-0.80495
0.142,-0.83003
0.14213,-0.85586
0.14225,-0.88488
0.14237,-0.90881
0.1425,-0.92689
0.14262,-0.94599
0.14275,-0.96373
0.14288,-0.97556
0.143,-0.98079
0.14312,-0.98405
0.14325,-0.98766
0.14337,-0.99146
0.1435,-0.99473
0.14363,-0.99731
0.14375,-0.99914
0.14387,-1.0008
0.144,-1.002
0.14412,-1.0032
0.14425,-1.0035
0.14438,-1.0032
0.1445,-1.0013
0.14463,-0.99649
0.14475,-0.98637
0.14487,-0.97121
0.145,-0.95292
0.14512,-0.93328
0.14525,-0.91241
0.14538,-0.89052
0.1455,-0.86728
0.14562,-0.84322
0.14575,-0.81997
0.14587,-0.79625
0.146,-0.77144
0.14613,-0.74506
0.14625,-0.71862
0.14637,-0.69415
0.1465,-0.66812
0.14662,-0.63746
0.14675,-0.60286
0.14688,-0.56609
0.147,-0.52626
0.14712,-0.4869
0.14725,-0.44761
0.14737,-0.40499
0.1475,-0.36584
0.14762,-0.3292
0.14775,-0.29162
0.14787,-0.25239
0.148,-0.21039
0.14812,-0.1694
0.14825,-0.13004
0.14837,-0.089736
0.1485,-0.046641
0.14863,0.00073609
0.14875,0.048521
0.14887,0.093655
0.149,0.13641
0.14912,0.17944
0.14925,0.21934
0.14938,0.25638
0.1495,0.29261
0.14962,0.32925
0.14975,0.36725
0.14987,0.40497
0.15,0.44297
0.15013,0.48022
0.15025,0.51699
0.15037,0.55254
0.1505,0.58755
0.15062,0.62031
0.15075,0.65076
0.15088,0.68006
0.151,0.70949
0.15112,0.73851
0.15125,0.76659
0.15137,0.79514
0.1515,0.82409
0.15163,0.85094
